name,address,location,price,cuisine,longitude,latitude,award,greenstar,country,city,is_global_hub,is_native,restaurant_density,star_level,recog_level,is_starred,award_level
Coorie Inn,"6 Willoughby Street, Muthill, PH5 2AB, United Kingdom","Muthill, United Kingdom",3,Modern British,-3.8323154,56.3317951,Selected Restaurants,0,United Kingdom,Muthill,0,1,0,0,1,0,1
FOUR BOYS,"Ferry Point, Rock, PL27 6LD, United Kingdom","Rock, United Kingdom",2,Seafood,-4.9244372,50.5448064,Selected Restaurants,0,United Kingdom,Rock,0,0,6,0,1,0,1
Locatelli at the National Gallery,"Sainsbury Wing, The National Gallery, Trafalgar Square, St James’s, London, WC2N 5DN, United Kingdom","London, United Kingdom",3,Italian,-0.1299995,51.5089342,Selected Restaurants,0,United Kingdom,London,1,0,292,0,1,0,1
Little Capo,"18 Howe Street, Edinburgh, EH3 6TG, United Kingdom","Edinburgh, United Kingdom",2,Italian Contemporary,-3.2025028,55.9561414,Selected Restaurants,0,United Kingdom,Edinburgh,0,0,33,0,1,0,1
Sino,"7 All Saints Road, Notting Hill, London, W11 1HA, United Kingdom","London, United Kingdom",2,Modern Cuisine,-0.20385,51.51777,Selected Restaurants,0,United Kingdom,London,1,0,192,0,1,0,1
Fern,"Pendewey Farm, Stony Lane, Nanstallon, PL31 2QX, United Kingdom","Nanstallon, United Kingdom",2,Modern British,-4.7536923,50.4705648,Selected Restaurants,0,United Kingdom,Nanstallon,0,1,0,0,1,0,1
Restaurant DOM,"7-9 Robert Street, Scunthorpe, DN15 6LU, United Kingdom","Scunthorpe, United Kingdom",3,Modern Cuisine,-0.648327,53.591054,Selected Restaurants,0,United Kingdom,Scunthorpe,0,0,0,0,1,0,1
The Swan Inn,"Lower Street, Fittleworth, RH20 1EL, United Kingdom","Fittleworth, United Kingdom",2,Traditional British,-0.5631994,50.9569195,Selected Restaurants,0,United Kingdom,Fittleworth,0,1,0,0,1,0,1
Toklas,"1 Surrey Street, Strand, London, WC2R 2ND, United Kingdom","London, United Kingdom",2,Mediterranean Cuisine,-0.1153448,51.5121284,Selected Restaurants,0,United Kingdom,London,1,0,284,0,1,0,1
Bell,"The Square, Ramsbury, SN8 2PE, United Kingdom","Ramsbury, United Kingdom",2,Modern Cuisine,-1.6045754,51.4427153,Selected Restaurants,0,United Kingdom,Ramsbury,0,0,0,0,1,0,1
The Butcher's Tap and Grill,"15 Spittal Street, Marlow, SL7 3HJ, United Kingdom","Marlow, United Kingdom",2,Meats and Grills,-0.776774,51.5724919,Selected Restaurants,0,United Kingdom,Marlow,0,0,3,0,1,0,1
Lido Restaurant,"Oakfield Place, City of Bristol, BS8 2BJ, United Kingdom","City of Bristol, United Kingdom",2,Mediterranean Cuisine,-2.6111844,51.4597704,Selected Restaurants,0,United Kingdom,City of Bristol,0,0,14,0,1,0,1
Bath Arms,"Horningsham, BA12 7LY, United Kingdom","Horningsham, United Kingdom",2,Modern British,-2.2729314,51.1737231,Selected Restaurants,0,United Kingdom,Horningsham,0,1,0,0,1,0,1
Vaughan's Anchor Inn,"Main Street, Liscannor, V95 FN5R, Ireland","Liscannor, Ireland",3,Seafood,-9.3909995,52.9387993,Selected Restaurants,0,Ireland,Liscannor,0,0,0,0,1,0,1
Lemon Tree,"Unit 32-34, The Courtyard Shopping Centre, Lower Main Street, Letterkenny, F92 EK13, Ireland","Letterkenny, Ireland",3,Modern Cuisine,-7.7370088,54.9485816,Selected Restaurants,0,Ireland,Letterkenny,0,0,0,0,1,0,1
MacNean House,"Main Street, Blacklion, F91 YK0F, Ireland","Blacklion, Ireland",4,Modern Cuisine,-7.881198,54.2911921,Selected Restaurants,0,Ireland,Blacklion,0,0,0,0,1,0,1
Gregans Castle Restaurant,"Gregans Castle Hotel, Ballyvaughan, H91 CF60, Ireland","Ballyvaughan, Ireland",4,Modern Cuisine,-9.1841644,53.0768168,Selected Restaurants,0,Ireland,Ballyvaughan,0,0,0,0,1,0,1
Inver,"Strathlachlan, Strachur, PA27 8BU, United Kingdom","Strachur, United Kingdom",4,Modern British,-5.2066967,56.1056447,Selected Restaurants,1,United Kingdom,Strachur,0,1,0,0,1,0,1
